Deutsch;Chinesisch;Beispielsatz;Fach;Thema
Prime;纯一度;Die Prime klingt wie derselbe Ton.;Musik;Intervalle
Oktave;纯八度;Die Oktave klingt hoeher, aber gleich.;Musik;Intervalle
Sekunde;二度;Die Sekunde reibt sich und draengt weiter.;Musik;Intervalle
Terz;三度;Die Terz singt und traegt die Melodie.;Musik;Intervalle
Quarte;纯四度;Die Quarte erkenne ich am Liedanfang.;Musik;Intervalle
Quinte;纯五度;Die Quinte klingt offen und stabil.;Musik;Intervalle
Sexte;六度;Die Sexte uebe ich einzeln, sie ist schwer.;Musik;Intervalle
Septime;七度;Die Septime zieht stark zur Oktave.;Musik;Intervalle
Sonatenhauptsatzform;奏鸣曲式;Die Sonatenhauptsatzform hat Exposition, Durchfuehrung und Reprise.;Musik;Wiener Klassik
Wiener Klassik;维也纳古典乐派;Haydn, Mozart und Beethoven praegen die Wiener Klassik.;Musik;Epochen
IF1 Bedeutungen;内容域1音乐的意义;IF1 verbindet Ausdrucksabsicht und musikalische Struktur.;Musik;KLP
IF2 Entwicklungen;内容域2音乐的发展;IF2 verbindet Epoche und musikalischen Stil.;Musik;KLP
